Variable Name			R Acceptable Name		domain	vectorname		measurefunction	measureaxis
fBodyAccJerk-mean()-X		fBodyAcc.std...X		f	fBodyAccJerk		mean()		X
fBodyAccJerk-mean()-Y		fBodyAcc.std...Y		f	fBodyAccJerk		mean()		Y
fBodyAccJerk-mean()-Z		fBodyAcc.std...Z		f	fBodyAccJerk		mean()		Z
fBodyAccJerk-std()-X		fBodyAccJerk.mean...X		f	fBodyAccJerk		std()		X
fBodyAccJerk-std()-Y		fBodyAccJerk.mean...Y		f	fBodyAccJerk		std()		Y
fBodyAccJerk-std()-Z		fBodyAccJerk.mean...Z		f	fBodyAccJerk		std()		Z
fBodyAccMag-mean()		fBodyGyro.std...X		f	fBodyAccMag		mean()		NA
fBodyAccMag-std()		fBodyGyro.std...Y		f	fBodyAccMag		std()		NA
fBodyAcc-mean()-X		tBodyGyroMag.std..		f	fBodyAcc		mean()		X
fBodyAcc-mean()-Y		tBodyGyroJerkMag.mean..		f	fBodyAcc		mean()		Y
fBodyAcc-mean()-Z		tBodyGyroJerkMag.std..		f	fBodyAcc		mean()		Z
fBodyAcc-std()-X		fBodyAcc.mean...X		f	fBodyAcc		std()		X
fBodyAcc-std()-Y		fBodyAcc.mean...Y		f	fBodyAcc		std()		Y
fBodyAcc-std()-Z		fBodyAcc.mean...Z		f	fBodyAcc		std()		Z
fBodyBodyAccJerkMag-mean()	fBodyGyro.std...Z		f	fBodyBodyAccJerkMag	mean()		NA
fBodyBodyAccJerkMag-std()	fBodyAccMag.mean..		f	fBodyBodyAccJerkMag	std()		NA
fBodyBodyGyroJerkMag-mean()	fBodyBodyAccJerkMag.std..	f	fBodyBodyGyroJerkMag	mean()		NA
fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag.mean..	f	fBodyBodyGyroJerkMag	mean()		NA
fBodyBodyGyroJerkMag-std()	fBodyBodyGyroJerkMag.std..	f	fBodyBodyGyroJerkMag	std()		NA
fBodyBodyGyroJerkMag-std()	fBodyBodyGyroMag.mean..		f	fBodyBodyGyroJerkMag	std()		NA
fBodyBodyGyroMag-mean()		fBodyAccMag.std..		f	fBodyBodyGyroMag	mean()		NA
fBodyBodyGyroMag-std()		fBodyBodyAccJerkMag.mean..	f	fBodyBodyGyroMag	std()		NA
fBodyBodyGyroMag-std()		fBodyBodyGyroMag.std..		f	fBodyBodyGyroMag	std()		NA
fBodyGyro-mean()-X		fBodyAccJerk.std...X		f	fBodyGyro		mean()		X
fBodyGyro-mean()-Y		fBodyAccJerk.std...Y		f	fBodyGyro		mean()		Y
fBodyGyro-mean()-Z		fBodyAccJerk.std...Z		f	fBodyGyro		mean()		Z
fBodyGyro-std()-X		fBodyGyro.mean...X		f	fBodyGyro		std()		X
fBodyGyro-std()-Y		fBodyGyro.mean...Y		f	fBodyGyro		std()		Y
fBodyGyro-std()-Z		fBodyGyro.mean...Z		f	fBodyGyro		std()		Z
tBodyAccJerkMag-mean()		tBodyAccMag.std..		t	tBodyAccJerkMag		mean()		NA
tBodyAccJerkMag-std()		tGravityAccMag.mean..		t	tBodyAccJerkMag		std()		NA
tBodyAccJerk-mean()-X		tBodyAccJerk.mean...X		t	tBodyAccJerk		mean()		X
tBodyAccJerk-mean()-Y		tBodyAccJerk.mean...Y		t	tBodyAccJerk		mean()		Y
tBodyAccJerk-mean()-Z		tBodyAccJerk.mean...Z		t	tBodyAccJerk		mean()		Z	
tBodyAccJerk-std()-X		tBodyAccJerk.std...X		t	tBodyAccJerk		std()		X
tBodyAccJerk-std()-Y		tBodyAccJerk.std...Y		t	tBodyAccJerk		std()		Y
tBodyAccJerk-std()-Z		tBodyAccJerk.std...Z		t	tBodyAccJerk		std()		Z
tBodyAccMag-mean()		tBodyGyroJerk.std...X		t	tBodyAccMag		mean()		NA
tBodyAccMag-std()		tBodyGyroJerk.std...Y		t	tBodyAccMag		std()		NA
tBodyAcc-mean()-X		tBodyAcc.mean...X		t	tBodyAcc		mean()		X
tBodyAcc-mean()-Y		tBodyAcc.mean...Y		t	tBodyAcc		mean()		Y
tBodyAcc-mean()-Z		tBodyAcc.mean...Z		t	tBodyAcc		mean()		Z
tBodyAcc-std()-X		tBodyAcc.std...X		t	tBodyAcc		std()		X
tBodyAcc-std()-Y		tBodyAcc.std...Y		t	tBodyAcc		std()		Y
tBodyAcc-std()-Z		tBodyAcc.std...Z		t	tBodyAcc		std()		Z
tBodyGyroJerkMag-mean()		tBodyAccJerkMag.std..		t	tBodyGyroJerkMag	mean()		NA
tBodyGyroJerkMag-std()		tBodyGyroMag.mean..		t	tBodyGyroJerkMag	std()		NA
tBodyGyroJerk-mean()-X		tBodyGyro.std...X		t	tBodyGyroJerk		mean()		X
tBodyGyroJerk-mean()-Y		tBodyGyro.std...Y		t	tBodyGyroJerk		mean()		Y
tBodyGyroJerk-mean()-Z		tBodyGyro.std...Z		t	tBodyGyroJerk		mean()		Z
tBodyGyroJerk-std()-X		tBodyGyroJerk.mean...X		t	tBodyGyroJerk		std()		X
tBodyGyroJerk-std()-Y		tBodyGyroJerk.mean...Y		t	tBodyGyroJerk		std()		Y
tBodyGyroJerk-std()-Z		tBodyGyroJerk.mean...Z		t	tBodyGyroJerk		std()		Z
tBodyGyroMag-mean()		tGravityAccMag.std..		t	tBodyGyroMag		mean()		NA
tBodyGyroMag-std()		tBodyAccJerkMag.mean..		t	tBodyGyroMag		std()		NA
tBodyGyro-std()-X		tBodyGyro.mean...X		t	tBodyGyro		std()		X
tBodyGyro-std()-Y		tBodyGyro.mean...Y		t	tBodyGyro		std()		Y
tBodyGyro-std()-Z		tBodyGyro.mean...Z		t	tBodyGyro		std()		Z
tGravityAccMag-mean()		tBodyGyroJerk.std...Z		t	tGravityAccMag		mean()		NA
tGravityAccMag-std()		tBodyAccMag.mean..		t	tGravityAccMag		std()		NA
tGravityAcc-mean()-X		tGravityAcc.mean...X		t	tGravityAcc		mean()		X
tGravityAcc-mean()-Y		tGravityAcc.mean...Y		t	tGravityAcc		mean()		Y
tGravityAcc-mean()-Z		tGravityAcc.mean...Z		t	tGravityAcc		mean()		Z
tGravityAcc-std()-X		tGravityAcc.std...X		t	tGravityAcc		std()		X
tGravityAcc-std()-Y		tGravityAcc.std...Y		t	tGravityAcc		std()		Y
tGravityAcc-std()-Z		tGravityAcc.std...Z		t	tGravityAcc		std()		Z
tBodyAcc-mean()-X		tBodyAcc.mean...X		t	tBodyAcc		mean()		X
tBodyAcc-mean()-Y		tBodyAcc.mean...Y		t	tBodyAcc		mean()		Y
tBodyAcc-mean()-Z		tBodyAcc.mean...Z		t	tBodyAcc		mean()		Z
tBodyAcc-std()-X		tBodyAcc.std...X		t	tBodyAcc		std()		X
tBodyAcc-std()-Y		tBodyAcc.std...Y		t	tBodyAcc		std()		Y
tBodyAcc-std()-Z		tBodyAcc.std...Z		t	tBodyAcc		std()		Z
tBodyGyroJerkMag-mean()		tBodyAccJerkMag.std..		t	tBodyGyroJerkMag	mean()		NA
tBodyGyroJerkMag-std()		tBodyGyroMag.mean..		t	tBodyGyroJerkMag	std()		NA
tBodyGyroJerk-mean()-X		tBodyGyro.std...X		t	tBodyGyroJerk		mean()		X
tBodyGyroJerk-mean()-Y		tBodyGyro.std...Y		t	tBodyGyroJerk		mean()		Y
tBodyGyroJerk-mean()-Z		tBodyGyro.std...Z		t	tBodyGyroJerk		mean()		Z
tBodyGyroJerk-std()-X		tBodyGyroJerk.mean...X		t	tBodyGyroJerk		std()		X
tBodyGyroJerk-std()-Y		tBodyGyroJerk.mean...Y		t	tBodyGyroJerk		std()		Y
tBodyGyroJerk-std()-Z		tBodyGyroJerk.mean...Z		t	tBodyGyroJerk		std()		Z
tBodyGyroMag-mean()		tGravityAccMag.std..		t	tBodyGyroMag		mean()		NA
tBodyGyroMag-std()		tBodyAccJerkMag.mean..		t	tBodyGyroMag		std()		NA
tBodyGyro-std()-X		tBodyGyro.mean...X		t	tBodyGyro		std()		X
tBodyGyro-std()-Y		tBodyGyro.mean...Y		t	tBodyGyro		std()		Y
tBodyGyro-std()-Z		tBodyGyro.mean...Z		t	tBodyGyro		std()		Z
tGravityAccMag-mean()		tBodyGyroJerk.std...Z		t	tGravityAccMag		mean()		NA
tGravityAccMag-std()		tBodyAccMag.mean..		t	tGravityAccMag		std()		NA
tGravityAcc-mean()-X		tGravityAcc.mean...X		t	tGravityAcc		mean()		X
tGravityAcc-mean()-Y		tGravityAcc.mean...Y		t	tGravityAcc		mean()		Y
tGravityAcc-mean()-Z		tGravityAcc.mean...Z		t	tGravityAcc		mean()		Z
tGravityAcc-std()-X		tGravityAcc.std...X		t	tGravityAcc		std()		X
tGravityAcc-std()-Y		tGravityAcc.std...Y		t	tGravityAcc		std()		Y
tGravityAcc-std()-Z		tGravityAcc.std...Z		t	tGravityAcc		std()		Z
